,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
111,Mattia Perin,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,31.8,60.4,0.0,7.5,0.0
112,Razvan Marin,1.5,0.8,1.3,0.4,0.3,0.0,3.0,6.0,0.7,1.9,0.9,0.6,0.1,0.7,1.3,6.0,1.9,41.1,87.5,1.4,2.4,0.0
113,Léo Sena,1.4,0.7,0.4,0.2,0.3,0.0,0.0,0.0,0.1,0.1,2.3,3.8,0.0,0.7,0.6,0.0,0.1,38.1,88.7,0.1,5.3,0.0
114,Armando Izzo,1.2,2.1,1.7,2.4,0.4,0.0,2.0,0.0,0.7,0.2,0.5,1.4,0.1,0.3,0.7,0.0,0.2,46.5,81.6,0.3,4.0,0.0
115,Francesco Caputo,0.0,0.0,0.6,0.1,0.0,0.0,11.0,5.0,1.7,0.6,0.2,1.3,0.8,0.5,1.5,5.0,0.6,16.3,77.7,0.0,0.2,0.0
116,Diego Demme,2.3,0.5,1.4,0.6,0.0,0.0,2.0,3.0,0.6,0.8,0.3,1.2,0.0,0.8,0.6,3.0,0.8,51.8,89.2,0.0,2.4,0.0
117,Takehiro Tomiyasu,1.5,1.7,1.0,3.3,0.6,1.0,2.0,0.0,0.5,0.3,0.5,0.4,0.1,0.3,1.0,0.0,0.3,48.7,82.1,0.2,3.0,0.0
118,Bram Nuytinck,1.1,1.3,0.4,3.6,0.9,0.0,1.0,0.0,0.2,0.2,0.2,0.3,0.0,0.1,0.4,0.0,0.2,41.2,84.2,0.1,2.4,0.0
119,Davide Zappacosta,1.3,0.7,0.9,1.5,0.0,0.0,4.0,2.0,1.6,0.5,1.3,0.8,0.3,0.9,1.7,2.0,0.5,32.0,83.6,0.6,0.8,0.0
120,Tiemoué Bakayoko,2.2,1.1,1.1,0.3,0.1,0.0,2.0,1.0,0.5,0.4,0.8,1.6,0.0,0.6,0.8,1.0,0.4,38.2,88.3,0.0,1.4,0.0
121,Stefan Radu,1.4,1.5,0.6,2.3,0.5,0.0,0.0,3.0,0.2,0.6,0.4,0.7,0.0,0.2,0.5,3.0,0.6,49.4,85.3,0.6,3.0,0.0
