,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
182,Frederik Rönnow,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.63
183,Elvis Rexhbecaj,5,2,0.9,0.9,0.4,1.6,0.0,0.8,1.6,6.63
184,Florian Müller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.63
185,Marco John,0.0,0.0,0.4,0.7,1.1,1,0.1,0.6,1.3,6.63
186,Manuel Gulde,2,0.0,0.3,0.0,0.1,0.7,0.1,0.1,0.1,6.62
187,Wendell,0.0,0.0,0.3,0.0,0.5,0.7,0.0,0.2,1,6.62
188,Daley Sinkgraven,0.0,0.0,0.3,0.6,1.3,1,0.0,0.9,1.4,6.62
189,Robin Zentner,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,6.62
190,Manuel Neuer,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.61
191,Bouna Sarr,0.0,1,0.4,0.4,1.5,0.9,0.0,0.5,1.6,6.61
192,Ermedin Demirovic,5,6,1.4,0.5,0.5,0.5,0.3,1,1.7,6.61
193,Manuel PrietlArminia Bielefeld,1,1,0.6,0.4,0.7,0.3,0.0,0.4,1.2,6.61
