Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Jordi Masip,0,0,0,0,0,0,0,0,0,6.57
Gerónimo Rulli,0,0,0,0,0,0.1,0,0,0,6.57
Markel Susaeta,1,2,0.7,1.6,0.7,0.6,0.1,0.9,1.4,6.57
Ander Barrenetxea,1,0,0.6,0.8,2.1,0.7,0.3,0.9,1.7,6.56
Gorka Elustondo,0,0,0.4,0.6,0.2,0.4,0,0.4,0.8,6.56
Raúl García,0,0,0.4,0,0.4,1,0,0.4,1,6.56
Aleix García,2,1,0.6,0.9,0.4,0.6,0,0.6,0.6,6.56
Chris Ramos,0,0,0,0,0,2,0,0,4,6.56
Martín Aguirregabiria,0,0,0,0.3,1,1,0,0.4,0.7,6.56
Andrés Guardado,0,4,0.8,1,0.8,1.2,0.1,0.7,1.2,6.55
Héctor Moreno,1,0,0.2,0.2,0.1,0.5,0.1,0.1,0.2,6.55
José Pozo,3,0,0.8,1,2.2,0.8,0.1,1.7,1.8,6.55
Vitolo,0,1,0.4,0.4,1.4,2,0.1,1.1,1,6.55
Diego Reyes,0,0,0,0.2,0.3,0.2,0,0,0,6.54
Aleix Vidal,0,0,0.7,1.3,0.4,0.6,0.1,0.7,1.2,6.54
Ibrahim Amadou,0,0,0.5,0.2,0.3,0.6,0.1,0.5,0.4,6.53
Rubén Blanco,0,0,0,0.1,0,0,0,0,0,6.53
Carles Planas,0,1,0.1,0.3,0.1,0.3,0,0,0.4,6.53
Malcom,1,2,0.7,0.9,0.7,0.6,0.5,0.4,0.7,6.53
Juanpi Añor,2,2,1.1,0.6,0.6,1.1,0.1,1.4,1.2,6.53
