,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
32,Rubén Rochina,5,1.1,34.9,72.8,0.7,3.4,0.3,7.06
33,Giovani Lo Celso,4,0.8,44.5,82.9,0.1,1.3,0.2,7.06
34,Cote,1,1.6,42.5,68.1,2,5.1,0.0,7.06
35,Enric Gallego,1,0.8,19.7,55.1,0.2,0.1,0.1,7.05
36,Emiliano Velázquez,2,0.4,28.1,69.5,0.2,2.1,0.1,7.05
37,Zouhair Feddal,1,0.3,60.6,86.2,0.0,4.1,0.0,7.04
38,Rubén Peña,2,1.4,43.5,71.5,1.6,3.9,0.0,7.04
39,Vicente Iborra,1,0.4,41.6,80.4,0.0,1.9,0.2,7.04
40,Daniel Carvajal,2,1.3,64.6,87.4,0.4,3.5,0.0,7.04
41,Adnan Januzaj,3,1.5,21.6,75.4,2,1.5,0.1,7.04
42,Luka Modric,6,1.6,55.6,88.9,0.6,4.1,0.1,7.03
43,Cristhian Stuani,0.0,0.4,15.7,68.2,0.0,0.2,0.0,7.03
44,Koke Vegas,0.0,0.0,20.0,75.0,0.0,3.0,0.0,7.03
45,Sofiane Boufal,3,1.1,22.9,80.0,0.3,0.8,0.1,7.03
46,Roberto Rosales,1,0.6,43.5,77.3,0.5,3.2,0.0,7.02
47,Lucas Hernández,0.0,0.2,36.4,81.3,0.2,1.5,0.0,7.02
48,Jordi Alba,8,1.3,65.6,85.6,0.3,2.0,0.1,7.01
49,Leandro Cabrera,0.0,0.2,30.0,50.6,0.2,4.5,0.0,7.01
50,Sergio Reguilón,2,1.2,47.6,85.9,0.3,2.4,0.0,7.0
51,Sergio Canales,2,1.7,54.3,88.3,1.3,2.4,0.2,7.0
52,Sergio Busquets,1,0.4,68.4,89.7,0.0,4.3,0.1,7.0
53,Iñaki Williams,4,0.8,18.1,70.3,0.2,0.2,0.1,7.0
54,Brais Méndez,7,1.5,35.9,78.5,0.9,1.3,0.0,6.99
55,Francis Coquelin,1,0.7,37.2,86.1,0.0,2.9,0.1,6.99
56,Diego Godín,1,0.1,34.9,80.5,0.0,3.1,0.0,6.98
57,José Gayà,1,0.7,41.5,81.9,0.6,2.1,0.0,6.98
58,Borja Garcés,0.0,0.0,4.0,50.0,0.0,0.0,0.0,6.98
59,Yeray Álvarez,0.0,0.1,42.8,80.1,0.0,3,0.0,6.98
60,Marc Bartra,0.0,0.1,68.7,87.8,0.0,4.2,0.0,6.97
61,Jorge Molina,5,1.2,19.3,66.7,0.1,0.4,0.2,6.97
62,Fabián Orellana,5,1.5,35.3,77.8,0.7,1.3,0.1,6.97
63,Jean-Clair Todibo,0.0,0.0,59.0,92.4,0.0,0.5,0.0,6.97
64,Filipe Luís,2,0.6,47.7,83.1,0.3,1.5,0.0,6.96
65,Unai Núñez,0.0,0.3,44.7,87.3,0.0,3.8,0.0,6.96
66,Maximiliano Gómez,5,0.9,19.2,73.1,0.1,0.9,0.1,6.95
67,Geoffrey Kondogbia,1,0.3,39.2,84.4,0.0,3.8,0.2,6.95
68,Mario Hermoso,0.0,0.2,50.3,83.9,0.0,4.9,0.1,6.95
69,Raúl de Tomás,1,0.5,13.9,81.7,0.0,1.1,0.0,6.94
70,Rúben Vezo,1,0.3,33.1,78.0,0.0,2.5,0.0,6.94
71,Dimitrios Siovas,0.0,0.3,39.7,72.3,0.1,3.6,0.0,6.94
72,André Silva,0.0,1.1,19.9,72.7,0.1,0.1,0.2,6.93
73,Thomas Partey,4,0.6,41.5,83.8,0.3,2.3,0.1,6.93
74,Aritz Elustondo,0.0,0.3,41.0,78.9,0.3,1.7,0.0,6.93
75,Jesús Navas,5,1.3,44.3,77.0,1.3,2.9,0.1,6.93
76,Martín Mantovani,0.0,0.0,25.1,79.6,0.0,1.2,0.0,6.93
77,Gabriel Paulista,1,0.2,43.3,86.7,0.0,3.8,0.0,6.93
78,Junior Firpo,4,0.8,38.9,82.9,0.3,0.8,0.0,6.93
79,Borja Iglesias,3,1.1,18.2,70.5,0.0,0.4,0.1,6.93
80,Philippe Coutinho,2,0.9,40.8,87.9,0.2,1.2,0.1,6.93
81,Rodrigo,6,0.9,25.1,74.4,0.1,1.1,0.1,6.93
82,Ezequiel Garay,0.0,0.2,44.6,83.6,0.0,4.1,0.0,6.92
