,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
89,Kingsley Michael,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.88
90,Nicolò Zaniolo,6,2,1.8,0.9,2.2,1.7,0.1,1.8,2,6.87
91,Cengiz Ünder,3,0.0,1.5,1.5,1.8,0.9,0.0,0.6,1.4,6.87
92,Luigi Sepe ,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,6.87
93,Daniele Baselli,0.0,2,0.4,1.1,0.6,0.9,0.0,0.7,1.4,6.87
94,Senad Lulic,0.0,2,0.8,1.1,1.3,0.6,0.4,0.9,0.8,6.87
95,Lucas Leiva,0.0,1,0.4,0.8,0.2,0.8,0.0,0.4,0.6,6.87
96,Giovanni Di Lorenzo,3,3,0.6,0.9,0.6,1.6,0.1,0.6,1,6.86
97,Marko Rog,1,1,1,1.0,1.8,1.4,0.0,1.2,1.4,6.86
98,Sandro Tonali,1,7,0.8,1.9,1.1,1.7,0.0,0.9,1.4,6.86
99,Simone Pinna,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,6.86
100,Alessio gnoli,1,0.0,0.4,0.3,0.1,0.6,0.0,0.0,0.2,6.86
101,Hernani ,0.0,4,1.1,0.9,1.1,0.6,0.1,0.7,0.9,6.86
102,Riccardo Gagliolo ,3,2,1,0.7,0.5,1.2,0.1,0.2,0.6,6.85
103,Etrit Berisha ,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.85
104,Simon Kjaer,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.1,0.3,6.85
105,Matteo Scozzarella ,0.0,3,0.3,0.9,0.4,0.6,0.0,0.4,0.5,6.85
106,Ante Rebic,11,3,1.6,1.2,0.9,0.5,0.1,0.8,2.1,6.85
107,Salvatore Sirigu,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,6.85
108,Stefano Sturaro,1,2,1.1,0.7,1.1,2.0,0.1,1,1.9,6.84
109,Domenico Criscito,8,0.0,0.9,0.8,0.3,1.6,0.0,0.3,0.5,6.84
110,Gonzalo Higuaín,8,4,2.3,1.2,0.7,0.5,0.4,0.6,1.1,6.84
111,Luca Gagliano,1,1,1.0,0.5,0.0,0.5,0.0,0.0,1.0,6.84
112,Mário Rui,0.0,2,1.3,1.5,1,2.3,0.1,0.6,0.7,6.83
113,Fabio Quagliarella,11,3,3.6,1.3,0.5,1.1,0.8,0.9,2.1,6.83
114,Samu Castillejo,2,3,1.3,1.9,0.9,0.9,0.3,0.9,1.4,6.83
115,Rodrigo Palacio,7,3,1.7,1.5,1,1.5,0.8,1.4,3.1,6.83
116,Gianluca Lapadula,11,0.0,2.4,0.9,0.7,2.3,1,1.4,2.1,6.83
117,Adrien Rabiot,1,1,0.7,0.5,1.3,1.0,0.0,0.9,1.2,6.82
118,Jasmin Kurtic ,2,0.0,2.9,1.6,1.1,2.0,0.1,1,1.0,6.82
119,Manolo Gabbiadini,11,1,2.6,1.2,0.4,1.2,0.5,0.8,1.2,6.82
120,Stefan Radu,1,0.0,0.1,0.4,0.6,0.7,0.0,0.1,0.4,6.82
121,Takehiro Tomiyasu,1,3,0.7,0.6,1.1,1.0,0.0,0.6,1,6.81
122,Filip Djuricic,5,5,1.4,1.3,1.2,1.6,0.1,1.2,1.5,6.81
